""	173
"1"	2
"10"	1
"12"	1
"13"	1
"14"	1
"15"	1
"5"	1
"6"	1
"7"	1
"8"	1
"9"	1
"a"	78
"abandoned"	1
"able"	1
"about"	11
"above"	1
"actually"	2
"added"	2
"af"	1
"afraid"	2
"after"	4
"again"	6
"ago"	1
"air"	2
"alive"	5
"all"	16
"almost"	4
"alone"	4
"aloud"	1
"already"	3
"always"	2
"am"	1
"amber"	1
"amelia"	3
"amount"	1
"an"	8
"ance"	1
"and"	80
"anger"	1
"announced"	2
"announcing"	1
"answer"	1
"any"	5
"anybody"	1
"anything"	1
"anyway"	4
"appear"	1
"appeared"	2
"appreciate"	1
"are"	4
"area"	1
"around"	3
"arrangements"	1
"arrival"	2
"arrive"	1
"art"	1
"as"	11
"aside"	1
"ask"	2
"asked"	1
"assurances"	1
"at"	18
"atrocity"	1
"attempt"	2
"auror"	1
"axminster"	1
"azkaban"	3
"back"	5
"bad"	1
"barked"	1
"be"	12
"beard"	1
"because"	1
"becoming"	1
"been"	17
"before"	5
"begin"	1
"behavior"	1
"behind"	2
"being"	3
"believe"	1
"bent"	1
"best"	1
"better"	2
"beyond"	1
"bit"	1
"black"	10
"blackmail"	1
"blackmailer"	1
"bleated"	1
"blood"	11
"blur"	1
"blustered"	1
"body"	1
"bones"	4
"book"	1
"bother"	3
"bounced"	1
"bowler"	6
"boy"	1
"breakout"	3
"breath"	1
"breathlessly"	1
"bridge"	3
"briefly"	1
"bringing"	1
"brockdale"	3
"broke"	1
"broomsticks"	1
"brought"	1
"builder"	1
"burst"	1
"but"	21
"by"	5
"bytheby"	1
"cabinet"	1
"called"	2
"came"	1
"campaign"	2
"can"	2
"canvas"	1
"capture"	1
"carpenters"	1
"cast"	1
"catching"	1
"caused"	2
"caved"	1
"certain"	1
"certainly"	1
"chair"	2
"chairs"	1
"chancellor"	1
"char"	1
"chewing"	1
"chin"	1
"chorley"	1
"chortling"	1
"cleared"	1
"cloak"	1
"clock"	1
"clutching"	1
"coloring"	1
"come"	2
"committed"	2
"community"	2
"concerns"	2
"conjured"	1
"considerable"	1
"continued"	1
"control"	3
"conversation"	1
"conversations"	1
"convey"	1
"convince"	1
"corner"	2
"corroded"	1
"cough"	1
"could"	5
"country"	4
"course"	5
"creatures"	3
"crimes"	1
"cup"	1
"currently"	1
"dangerous"	2
"dare"	1
"day"	3
"dead"	2
"dealing"	1
"dear"	1
"death"	1
"decades"	1
"deep"	1
"defensively"	1
"deficient"	1
"delighted"	1
"demanded"	1
"dementors"	1
"deny"	1
"department"	3
"departments"	1
"desk"	3
"desperate"	1
"despite"	1
"details"	2
"did"	4
"didn"	1
"dif"	2
"disappearance"	1
"disaster"	1
"disasters"	1
"discover"	1
"discussion"	1
"disheveled"	1
"dislike"	1
"dismay"	1
"distractedly"	1
"diverted"	1
"do"	2
"don"	6
"down"	8
"dragon"	1
"dragons"	3
"dreaming"	1
"drew"	1
"dripping"	1
"dumbledore"	2
"during"	1
"dying"	1
"e"	15
"each"	4
"earlier"	1
"eaters"	1
"eclipsed"	1
"ef"	5
"either"	1
"election"	2
"ell"	5
"else"	2
"eluded"	1
"emerald"	1
"encompassed"	1
"encounter"	2
"end"	1
"enforcement"	1
"enough"	2
"er"	4
"ere"	1
"erupted"	1
"es"	3
"escaped"	1
"est"	2
"even"	2
"evening"	1
"ever"	1
"every"	3
"everything"	1
"evidence"	2
"exactly"	1
"excellent"	1
"exchequer"	1
"excuse"	1
"expansion"	1
"explain"	1
"explanation"	1
"extra"	1
"extremely"	1
"eye"	1
"eyes"	2
"eyewitnesses"	1
"f"	2
"fact"	2
"family"	1
"fast"	1
"fastened"	1
"faster"	1
"fatherly"	1
"fault"	3
"fear"	1
"feared"	1
"fect"	2
"fected"	1
"feel"	1
"felt"	2
"fered"	1
"fice"	6
"ficult"	2
"fifteen"	1
"fifty"	1
"fight"	1
"fill"	1
"find"	5
"fingers"	1
"fire"	2
"fireplace"	3
"fireplaces"	1
"firmly"	1
"first"	3
"fixed"	1
"flames"	2
"fleeting"	1
"flight"	1
"flustered"	1
"fly"	1
"followers"	3
"foolish"	1
"foot"	1
"for"	20
"foreign"	1
"former"	1
"fort"	2
"forts"	1
"found"	2
"frame"	1
"fretful"	1
"from"	8
"front"	1
"fudge"	50
"full"	1
"furiously"	2
"g"	11
"gazed"	1
"ge"	3
"gently"	1
"gerbil"	2
"gesturing"	1
"getting"	1
"giant"	2
"giants"	1
"gifted"	1
"given"	1
"glasses"	1
"gloomy"	1
"glow"	1
"go"	2
"going"	6
"good"	3
"got"	4
"government"	2
"grand"	1
"graver"	1
"great"	2
"green"	2
"grief"	1
"grimaced"	1
"groped"	1
"grueling"	1
"habit"	1
"had"	64
"half"	11
"hallucination"	1
"hand"	4
"happen"	1
"happened"	3
"harassedlooking"	1
"hardest"	1
"harry"	12
"has"	4
"hasn"	1
"hat"	3
"haunt"	1
"have"	15
"having"	2
"havoc"	1
"he"	55
"head"	3
"heard"	2
"heatedly"	1
"help"	1
"helpings"	1
"her"	1
"herbert"	1
"herself"	1
"hesitated"	1
"hewhomust"	2
"hewhomustnotbe"	3
"hewhomustnotbenamed"	3
"highly"	1
"him"	16
"himself"	6
"his"	51
"historian"	1
"hit"	1
"hoarsely"	1
"hoax"	2
"hogwarts"	1
"hope"	4
"hoped"	1
"hopelessly"	1
"hoping"	1
"horrible"	2
"hospital"	1
"hour"	1
"how"	2
"however"	3
"hurricane"	3
"i"	25
"id"	1
"if"	4
"ignorant"	1
"ill"	1
"im"	5
"immediately"	1
"imminent"	1
"importing"	1
"impossible"	1
"in"	35
"incident"	1
"indeed"	1
"inform"	1
"informed"	1
"infuriating"	1
"injuries"	2
"innocent"	1
"inquiry"	1
"inside"	1
"instead"	1
"instructed"	1
"interrupted"	1
"into"	9
"introduce"	1
"invisible"	1
"involved"	2
"involvement"	2
"is"	11
"isolated"	1
"it"	34
"ive"	2
"izarding"	2
"jacket"	1
"january"	1
"jk"	11
"job"	1
"joined"	1
"joints"	1
"just"	5
"keeping"	1
"killed"	2
"killer"	1
"killing"	3
"kindly"	1
"knees"	1
"knew"	1
"know"	9
"known"	1
"kwidditch"	1
"lack"	1
"lampposts"	1
"lar"	2
"last"	4
"later"	2
"laughed"	1
"law"	1
"league"	1
"leave"	1
"leaving"	1
"left"	1
"less"	2
"let"	2
"liaison"	1
"like"	8
"liked"	1
"likely"	1
"limegreen"	1
"liquid"	1
"little"	5
"live"	2
"lived"	2
"living"	2
"long"	2
"look"	3
"looking"	2
"lord"	1
"losing"	2
"lot"	3
"low"	1
"mad"	1
"made"	4
"magic"	5
"magical"	4
"maintain"	1
"making"	2
"maladies"	1
"man"	4
"many"	1
"mark"	1
"mass"	3
"materializing"	1
